,Order ID,Customer ID,Product ID,Product Category,Price,Quantity Ordered,Discount Applied,Order Date,Shipping Date,Delivery Status,Payment Method,Total Order Value,Customer Age,Customer Gender,Customer Location,Return Status,Warehouse ID,Shipment Partner,Discounted Price
0,0948c5cb-5faf-4463-aa47-2b53f04d12cd,975bd054-7157-4fa1-84d6-d1a44e71b1c2,ba12b355-08a9-4271-84d4-45498281f8f3,Clothing,199.37,4,0.07,2024-07-19,2024-06-25,Cancelled,Credit Card,741.6564,39,Female,USA,Returned,e081848d-c444-4bce-95fe-d104559e2e6d,DHL,185.4141
1,795930db-b767-42a2-871e-9af4fe1785d0,8570da93-cd87-43de-a899-25ea6a1efa13,65a7e553-73a0-4f08-a238-aa7ee2dbf72e,Toys,23.48,4,0.15,2024-10-23,2024-03-30,Delivered,Gift Card,79.83200000000001,56,Female,Canada,Returned,f8ffd9a4-7d15-4bc1-bda3-5c16dac50ea9,USPS,19.958000000000002
2,09e743b9-9dd4-4c42-a26b-488676b669a4,8c4bb0f3-04b0-478f-b974-41d927245860,2f92de4c-7eb8-4f7e-94ad-c993fa2312e0,Books,13.58,5,0.1,2025-02-02,2025-02-24,Shipped,PayPal,61.11,42,Other,USA,Returned,7a5e08e5-f760-424c-a105-3e7585c7b11d,USPS,12.222
3,9551ef08-0c02-400e-bf71-716f06941a5b,da67d284-0fb8-4b80-b2d3-167ca2f7bb03,5fb62621-876b-4dc0-be13-14f5a0ca8fe5,Books,231.1,3,0.24,2024-06-20,2024-08-08,Delivered,Credit Card,526.908,53,Male,France,Returned,59374175-6bbf-41f7-96cf-d161e9a0a652,FedEx,175.636
4,c40fd8ac-7947-414e-8ecc-a5993e270d27,7aab359c-e7db-4384-82b2-c75be8452ed4,7429ed2c-82ad-47ad-ae02-aa0a5c5c40db,Toys,91.45,4,0.17,2025-01-28,2024-09-30,Processing,Credit Card,303.61400000000003,57,Male,Germany,Not Returned,500fc048-ec7a-4a43-8c4d-a8250af638f1,USPS,75.90350000000001
5,0770ceff-ee5a-4487-aa18-f8daaf43bf0c,423f5c8d-8e48-4681-9bb6-ef06b467275e,f947830a-e4de-4323-9fc4-a724b9d694bc,Books,239.22,5,0.15,2024-11-26,2025-01-22,Delivered,Debit Card,1016.685,59,Male,Canada,Returned,5aa36a8f-7a1f-4e44-a1c2-5c206e5a3522,FedEx,203.337
6,ba7f1d8b-c609-478a-b6ff-2ff36e1ababc,3794bdb5-4041-4a97-8f56-baae85a0bfae,877a8428-0ac1-4fde-8788-0ede61e44395,Home & Kitchen,406.18,5,0.22,2024-12-03,2024-12-20,Cancelled,Credit Card,1584.102,60,Female,UK,Not Returned,deb526d3-df37-4475-a03c-c63c8ad0d64f,DHL,316.8204
7,6d46fd23-34ea-4de6-8914-23fb11aef4da,28357436-329a-4445-ba31-ad773c53bdb8,569d81be-1f6b-4b3c-8a44-50f24957fd23,Home & Kitchen,176.91,3,0.23,2024-07-21,2025-01-11,Processing,Credit Card,408.6621,64,Male,Canada,Not Returned,305f5c02-db0e-4ea3-8ffa-c225e51e4b15,USPS,136.2207
8,8fb6deda-2256-4fa4-9f97-6dcb22285d98,30af6711-b5ff-4632-ad67-0382eb2217ad,2bac3e02-c51d-4f13-8e3e-6ed8405c2f00,Electronics,135.75,5,0.24,2024-05-25,2024-04-07,Processing,PayPal,515.85,22,Female,Canada,Not Returned,f3949d38-22f5-4b30-9fbb-c1d7e3b9a5e7,FedEx,103.17
9,e381bb96-9206-46a5-bd8d-696a23aee360,c7cadffe-d7f1-41c1-9a7f-7a256b7c1d8d,a231accf-804f-457a-bad8-1bd60d09d6bb,Clothing,59.84,5,0.12,2025-01-11,2024-05-08,Processing,Gift Card,263.29600000000005,38,Male,UK,Returned,6478bf83-e825-4639-9472-840ecfd3be62,FedEx,52.659200000000006
10,4751fb69-a769-4381-8885-3a32929e5ac4,d585e594-5b08-4258-8d9c-a369ed5e7010,0420d3ac-7d11-452a-91d7-24e311b8eb31,Electronics,171.17,2,0.13,2025-01-05,2024-08-15,Processing,Gift Card,297.83579999999995,42,Male,France,Returned,812379ed-355e-490b-ba35-b0252fa2bc80,UPS,148.91789999999997
11,268704aa-53a3-4b6e-bc00-63e1555dbfb4,20e530e5-60cb-437f-8d7d-1f4a5993a6a0,c5953a23-d243-4252-a678-cdb725960d76,Books,270.75,5,0.19,2025-01-13,2024-05-01,Delivered,Credit Card,1096.5375,53,Other,USA,Returned,583a6e4a-0294-415f-bd8d-de98146266b5,USPS,219.3075
12,7fcaa940-ac10-4a36-800c-7bcd303afba5,9f13a7bd-ef09-42b7-ba2b-14107b59f6c9,8439109b-1a4a-4502-af29-e44abeb09ace,Home & Kitchen,231.28,3,0.1,2024-12-13,2024-05-20,Processing,Gift Card,624.4559999999999,63,Female,Germany,Not Returned,0f360f68-7308-4595-8152-915f63d2d053,USPS,208.152
13,81ef7dc7-67cf-40a5-8397-f1b2b76052a4,14a4760c-25fa-4f1e-a794-8ebd38550530,0b9f2cbf-bd3b-4d7b-a1d7-edf4eb0e00a6,Home & Kitchen,243.92,5,0.09,2024-08-31,2025-01-25,Delivered,Gift Card,1109.836,63,Male,USA,Not Returned,6501f68b-7273-4bd7-9057-8fcacd84a2e8,DHL,221.9672
14,6f0f2b50-d45d-4e17-b2df-a940ea5d6697,5c31d862-2779-4d33-8615-265596e14329,64402b1c-95c8-46da-9f8e-4867ce5f249c,Clothing,211.85,5,0.21,2024-08-09,2025-01-08,Cancelled,PayPal,836.8075,27,Other,USA,Not Returned,d18c4634-d900-4b48-af5e-0404d6d25819,FedEx,167.3615
15,35b6672b-1d73-4ea8-a8bc-4f849868bc22,775bb94c-3561-432b-99f5-7d708ac989f9,2a982585-77fc-4b34-99d5-999514f92963,Electronics,280.03,3,0.12,2024-08-28,2024-07-25,Cancelled,PayPal,739.2792,31,Other,Canada,Returned,3810ad83-0a14-4db3-82cc-f6659a845459,FedEx,246.42639999999997
16,1b61ae90-edf1-458e-8fc9-d86c445a2bd2,ec79943e-97d4-4ecd-b584-a419f5547108,041e139d-fb09-49fe-b35f-9da5bc192733,Books,83.41,3,0.07,2024-11-17,2024-03-23,Cancelled,Gift Card,232.71389999999997,21,Female,USA,Returned,b3ce9405-d607-4532-bf6d-20d28af4ed87,FedEx,77.5713
17,02a9b665-cfbe-41d9-957c-5d80944ef5a7,1e6721f1-8b45-4085-abad-5f04580f3782,d2a0e0e7-a57d-46cf-897a-6f7f1a759068,Clothing,247.72,2,0.22,2024-06-29,2025-02-16,Processing,PayPal,386.4432,36,Other,UK,Not Returned,bd336afb-a524-48fa-8d7c-7be18bf48a2f,USPS,193.2216
18,46cee02f-a95e-458e-90be-79d19459dc1c,d621b9a1-3fea-4b4e-b834-936e4bfcbf2d,f653e08f-1aa9-46f8-ac5e-f7eb6b01a879,Clothing,432.91,3,0.17,2024-10-13,2024-04-03,Cancelled,PayPal,1077.9459000000002,22,Female,USA,Not Returned,9cb56c0c-1bc0-4515-8a32-278dc58d6fe0,DHL,359.31530000000004
